ecosystem,file,name,constraint,before,stable,declared,after,note
"pub","pubspec.yaml","archive","^4.0.9","4.0.9","4.2.0","^4.2.0","4.2.0",""
"pub","pubspec.yaml","file_selector","^1.1.0","1.1.0","1.1.0","^1.1.0","1.1.0",""
"pub","pubspec.yaml","fl_chart","^1.2.0","1.2.0","1.2.0","^1.2.0","1.2.0",""
"pub","pubspec.yaml","flutter_riverpod","^3.4.1","3.4.1","3.4.2","^3.4.2","3.4.2",""
"pub","pubspec.yaml","logging","^1.3.0","1.3.0","1.3.0","^1.3.0","1.3.0",""
"pub","pubspec.yaml","path","^1.9.1","1.9.1","1.9.1","^1.9.1","1.9.1",""
"pub","pubspec.yaml","pasteboard","^0.5.0","0.5.0","0.5.0","^0.5.0","0.5.0",""
"pub","pubspec.yaml","uuid","^4.6.0","4.6.0","4.6.0","^4.6.0","4.6.0",""
"pub","pubspec.yaml","path_provider","^2.1.6","2.1.6","2.1.6","^2.1.6","2.1.6",""
"pub","pubspec.yaml","ghostty_vte_flutter","^0.1.5","0.1.5","0.1.3","^0.1.5","0.1.5","Pinned local fork retained"
"pub","pubspec.yaml","ffi","^2.2.0","2.2.0","2.2.0","^2.2.0","2.2.0",""
"pub","pubspec.yaml","portable_pty","^0.0.5","0.0.5","0.0.5","^0.0.5","0.0.5",""
"pub","pubspec.yaml","xterm2","^5.3.0","5.3.0","5.2.0","^5.3.0","5.3.0","Pinned local fork retained"
"pub","pubspec.yaml","desktop_updater","^2.7.0","2.7.0","3.1.6","^2.7.0","2.7.0","2.7.0 retained: v3 release/installer migration excluded"
"pub","pubspec.yaml","http","^1.6.0","1.6.0","1.6.0","^1.6.0","1.6.0",""
"pub","pubspec.yaml","record","^7.1.1","7.1.1","7.1.1","^7.1.1","7.1.1",""
"pub","pubspec.yaml","speech_to_text","^7.4.0","7.4.0","7.4.0","^7.4.0","7.4.0",""
"pub","pubspec.yaml","image","^4.9.1","4.9.1","4.9.2","^4.9.2","4.9.2",""
"pub","pubspec.yaml","media_kit","1.2.6","1.2.6","1.2.6","1.2.6","1.2.6","Coordinated native versions/hashes/licenses retained"
"pub","pubspec.yaml","media_kit_libs_video","1.0.7","1.0.7","1.0.7","1.0.7","1.0.7","Coordinated native versions/hashes/licenses retained"
"pub","pubspec.yaml","media_kit_video","2.0.1","2.0.1","2.0.1","2.0.1","2.0.1","Coordinated native versions/hashes/licenses retained"
"pub","pubspec.yaml","package_info_plus","^10.2.1","10.2.1","10.2.1","^10.2.1","10.2.1",""
"pub","pubspec.yaml","url_launcher","^6.3.2","6.3.2","6.3.2","^6.3.2","6.3.2",""
"pub","pubspec.yaml","flutter_colorpicker","^1.1.0","1.1.0","1.1.0","^1.1.0","1.1.0",""
"pub","pubspec.yaml","flutter_svg","^2.3.0","2.3.0","2.3.0","^2.3.0","2.3.0",""
"pub","pubspec.yaml","wakelock_plus","^1.7.0","1.7.0","1.7.0","^1.7.0","1.7.0",""
"pub","pubspec.yaml","riverpod_annotation","^4.0.5","4.0.5","4.0.6","^4.0.6","4.0.6",""
"pub","pubspec.yaml","dart_mappable","^4.8.0","4.8.0","4.8.0","^4.8.0","4.8.0",""
"pub","pubspec.yaml","desktop_drop","^0.7.1","0.7.1","0.8.2","^0.8.2","0.8.2",""
"pub","pubspec.yaml","drift","^2.34.3","2.34.3","2.34.3","^2.34.3","2.34.3",""
"pub","pubspec.yaml","meta","^1.18.0","1.19.0","1.19.0","^1.19.0","1.19.0",""
"pub","pubspec.yaml","sqlite3","^3.5.0","3.5.0","3.5.2","^3.5.2","3.5.2",""
"pub","pubspec.yaml","sqlite3_flutter_libs","^0.6.0+eol","0.6.0+eol","0.6.0+eol","","","Removed obsolete no-op package; sqlite3 3.x owns native hooks"
"pub","pubspec.yaml","flutter_local_notifications","^22.2.0","22.2.0","22.3.0","^22.3.0","22.3.0",""
"pub","pubspec.yaml","screen_retriever","^0.2.2","0.2.2","0.2.2","^0.2.2","0.2.2",""
"pub","pubspec.yaml","window_manager","^0.5.2","0.5.2","0.5.2","^0.5.2","0.5.2",""
"pub","pubspec.yaml","crypto","^3.0.7","3.0.7","3.0.7","^3.0.7","3.0.7",""
"pub","pubspec.yaml","cryptography","^2.9.0","2.9.0","2.9.0","^2.9.0","2.9.0",""
"pub","pubspec.yaml","toml","^0.18.0","0.18.0","0.18.0","^0.18.0","0.18.0",""
"pub","pubspec.yaml","flutter_rust_bridge","2.12.0","2.12.0","2.13.0","2.13.0","2.13.0",""
"pub","pubspec.yaml","flutter_directory_tree","^1.0.0","1.0.0","1.0.0","^1.0.0","1.0.0",""
"pub","pubspec.yaml","gpt_markdown","^1.1.8","1.1.8","1.2.1","^1.2.1","1.2.1",""
